iter	adv_max	adv_avg	adv_min	adv_std	mi_max	mi_avg	mi_min	mi_std	r_cons_avg	r_sense_avg	r_intra_avg	norm_pen_avg	safety_avg	spread_avg	real_fake_loss	ca_blend	ca_rfl_gate	ca_has_data	ks_winner
100.000000	-1.065447	-1.102054	-1.146266	0.013514	-2.377702	-2.387168	-2.396098	0.002874	0.247141	0.007986	0.882471	0.088796	9.142210	0.223459	0.629941	0.000000	0.001175	1.000000	0.000000
200.000000	-1.210020	-1.297712	-1.378354	0.025058	-2.311372	-2.349091	-2.377347	0.011306	0.258258	0.011239	0.830769	0.087162	9.183982	0.233110	0.586885	0.000000	0.862303	1.000000	0.000000
300.000000	-1.230858	-1.399311	-1.567808	0.061998	-2.044742	-2.207350	-2.348330	0.050181	0.245890	0.024619	0.961634	0.041801	9.369588	0.177720	0.537469	0.000000	1.000000	1.000000	0.000000
400.000000	-1.252384	-1.386431	-1.535734	0.049141	-1.539988	-1.955883	-2.441030	0.160731	0.170081	0.030192	0.994378	0.048542	9.589044	0.146986	0.474405	0.000000	1.000000	1.000000	0.000000
500.000000	-1.543666	-1.728211	-2.105775	0.089695	-1.212344	-2.008712	-3.161304	0.297031	0.153352	0.025832	0.998809	0.051667	9.613142	0.122044	0.431395	0.000000	1.000000	1.000000	0.000000
600.000000	-1.594207	-1.835539	-2.109582	0.072991	-0.875248	-1.668924	-2.904720	0.410146	0.124143	0.033435	0.976931	0.037443	10.108506	0.094310	0.393269	0.000000	0.865375	1.000000	0.000000
700.000000	-1.719946	-1.835579	-2.016963	0.046543	-0.729040	-1.327979	-2.810797	0.346045	0.094225	0.038293	0.945475	0.028216	10.574810	0.076016	0.360458	0.000000	0.209169	1.000000	0.000000
800.000000	-1.661987	-1.752835	-1.912280	0.043519	-0.507099	-1.032747	-3.537286	0.337682	0.085248	0.056438	0.909501	0.021835	10.997471	0.067307	0.378341	0.000000	0.566812	1.000000	0.000000
900.000000	-1.907045	-2.015476	-2.172976	0.038997	-0.378591	-1.203532	-3.588901	0.543762	0.093314	0.052244	0.951985	0.028826	10.669357	0.076424	0.351016	0.000000	0.020314	1.000000	0.000000
1000.000000	-2.035123	-2.161293	-2.329997	0.045191	-0.271043	-0.901784	-2.867390	0.382540	0.078799	0.058693	0.869544	0.015878	11.524853	0.059336	0.324982	0.000000	0.000000	1.000000	0.000000
1100.000000	-1.897065	-2.087291	-2.268857	0.060817	-0.330978	-0.754537	-1.619345	0.232149	0.069257	0.056512	0.897138	0.010724	11.238772	0.055576	0.333652	0.000000	0.000000	1.000000	0.000000
1200.000000	-2.012955	-2.191991	-2.359467	0.050166	-0.198658	-0.715728	-2.290073	0.229026	0.061652	0.052518	0.900145	0.008566	11.131003	0.053573	0.330938	0.000000	0.000000	1.000000	0.000000
1300.000000	-1.989834	-2.217124	-2.488943	0.076741	-0.259895	-0.921775	-3.088839	0.322284	0.073971	0.038968	0.930450	0.010520	10.682873	0.057043	0.318074	0.000000	0.000000	1.000000	0.000000
1400.000000	-2.178017	-2.354211	-2.533012	0.060165	-0.142716	-0.648296	-2.268188	0.306006	0.068039	0.072148	0.856606	0.012221	11.874171	0.055020	0.318746	0.000000	0.000000	1.000000	0.000000
1500.000000	-2.244304	-2.414370	-2.576932	0.052228	-0.245096	-0.736766	-1.708565	0.219291	0.060131	0.045858	0.845608	0.005886	11.176863	0.048162	0.305078	0.000000	0.000000	1.000000	0.000000
1600.000000	-1.958421	-2.119616	-2.308613	0.048962	-0.110519	-0.481155	-1.172644	0.172981	0.056912	0.061314	0.857677	0.004419	11.567588	0.047298	0.332863	0.000000	0.000000	1.000000	0.000000
