iter	adv_max	adv_avg	adv_min	adv_std	mi_max	mi_avg	mi_min	mi_std	r_cons_avg	r_sense_avg	r_intra_avg	norm_pen_avg	safety_avg	spread_avg	real_fake_loss	ca_blend	ca_rfl_gate	ca_has_data	ks_winner
100.000000	-1.064233	-1.100988	-1.145447	0.013395	-2.378259	-2.387524	-2.395906	0.002854	0.247876	0.007814	0.881506	0.088953	9.141775	0.223657	0.629693	0.000000	0.000000	1.000000	0.000000
200.000000	-1.191808	-1.294720	-1.372868	0.025857	-2.312368	-2.349836	-2.381708	0.012817	0.260235	0.011075	0.802488	0.091868	9.185482	0.238952	0.585144	0.000000	0.497115	1.000000	0.000000
300.000000	-1.220592	-1.381236	-1.536105	0.061946	-2.021990	-2.198807	-2.345021	0.055372	0.250877	0.025567	0.966728	0.039122	9.389055	0.176288	0.535415	0.000000	1.000000	1.000000	0.000000
400.000000	-1.244552	-1.398968	-1.560767	0.048110	-1.608990	-1.987260	-2.422150	0.143590	0.175096	0.028351	0.993472	0.051122	9.535262	0.152772	0.477047	0.000000	1.000000	1.000000	0.000000
500.000000	-1.550369	-1.710715	-2.013119	0.081626	-1.301606	-1.997650	-3.035879	0.269606	0.161795	0.027875	0.998528	0.055330	9.612937	0.128910	0.436736	0.000000	1.000000	1.000000	0.000000
600.000000	-1.622677	-1.842144	-2.073180	0.066550	-0.886020	-1.651963	-2.826043	0.354719	0.126593	0.033530	0.985422	0.038105	10.051514	0.096723	0.404962	0.000000	0.499244	1.000000	0.000000
700.000000	-1.666043	-1.783847	-1.960232	0.045153	-0.754126	-1.345934	-2.662665	0.340316	0.091351	0.034211	0.943560	0.025938	10.532960	0.073116	0.362271	0.000000	0.000000	1.000000	0.000000
800.000000	-1.624958	-1.721718	-1.867616	0.039239	-0.438743	-1.064503	-3.719365	0.367350	0.085910	0.055811	0.914422	0.022707	10.966553	0.068426	0.372312	0.000000	0.000000	1.000000	0.000000
900.000000	-1.877018	-2.014603	-2.140789	0.044540	-0.436428	-1.236947	-3.536667	0.535856	0.095515	0.049405	0.965081	0.030650	10.531587	0.078904	0.353852	0.000000	0.000000	1.000000	0.000000
1000.000000	-2.037754	-2.172222	-2.365910	0.049977	-0.320443	-0.931549	-2.889239	0.395133	0.079936	0.055004	0.862185	0.016229	11.579012	0.059312	0.331154	0.000000	0.000000	1.000000	0.000000
1100.000000	-1.947508	-2.102872	-2.268922	0.055543	-0.322411	-0.730188	-1.656604	0.233876	0.070627	0.060371	0.895611	0.011859	11.377277	0.056636	0.332109	0.000000	0.000000	1.000000	0.000000
1200.000000	-2.031410	-2.181699	-2.358143	0.046422	-0.327906	-0.760345	-2.239489	0.231159	0.063693	0.051696	0.920538	0.009252	10.990606	0.055279	0.329554	0.000000	0.000000	1.000000	0.000000
1300.000000	-2.078595	-2.266619	-2.473906	0.059656	-0.328683	-1.019740	-3.019601	0.321424	0.070674	0.031606	0.932597	0.008164	10.377445	0.054794	0.315546	0.000000	0.000000	1.000000	0.000000
1400.000000	-2.243574	-2.366558	-2.556477	0.042603	-0.173501	-0.735922	-2.628850	0.333147	0.072281	0.065178	0.887861	0.014465	11.506022	0.058837	0.315274	0.000000	0.000000	1.000000	0.000000
1500.000000	-2.279845	-2.406199	-2.512809	0.038867	-0.283695	-0.774943	-1.644452	0.194639	0.060016	0.043681	0.860659	0.005793	10.970491	0.048826	0.306801	0.000000	0.000000	1.000000	0.000000
1600.000000	-1.994213	-2.132290	-2.310800	0.050476	-0.092628	-0.441252	-1.067217	0.157817	0.057349	0.065531	0.846550	0.004480	11.887457	0.046805	0.330858	0.000000	0.000000	1.000000	0.000000
1700.000000	-2.051276	-2.262152	-2.474331	0.074101	-0.138335	-0.547287	-1.579092	0.227660	0.061387	0.059182	0.831177	0.004831	11.327652	0.046390	0.296469	0.000000	0.000000	1.000000	0.000000
1800.000000	-2.118732	-2.290956	-2.490797	0.068878	-0.127962	-0.427085	-1.401160	0.186000	0.060158	0.069758	0.829040	0.003805	11.774119	0.045228	0.314895	0.000000	0.000000	1.000000	0.000000
1900.000000	-1.927892	-2.223912	-2.450963	0.092374	-0.104697	-0.465135	-1.630643	0.244105	0.058147	0.056012	0.513985	0.001941	13.352014	0.026823	0.309334	0.000000	0.000000	1.000000	0.000000
2000.000000	-2.160960	-2.311882	-2.563626	0.061482	-0.172103	-0.542047	-1.239841	0.187392	0.057291	0.048784	0.914972	0.004370	10.717827	0.050119	0.318130	0.000000	0.000000	1.000000	0.000000
2100.000000	-2.177142	-2.351604	-2.524951	0.062744	-0.267592	-0.646658	-1.562849	0.196275	0.064314	0.044048	0.969131	0.006161	10.294155	0.054618	0.306510	0.000000	0.000000	1.000000	0.000000
2200.000000	-2.337012	-2.515787	-2.701586	0.065240	-0.198144	-0.658851	-1.516378	0.219328	0.065285	0.040896	0.938741	0.005660	10.420962	0.052597	0.300076	0.000000	0.000000	1.000000	0.000000
2300.000000	-2.384060	-2.547686	-2.784459	0.063168	-0.081370	-0.369375	-1.168177	0.179303	0.057291	0.068633	0.781285	0.001943	11.592689	0.041007	0.301213	0.000000	0.000000	1.000000	0.000000
2400.000000	-2.219749	-2.460030	-2.687027	0.079829	-0.082142	-0.452761	-1.689251	0.262249	0.059809	0.064692	0.802446	0.003411	11.202065	0.043533	0.292931	0.000000	0.000000	1.000000	0.000000
2500.000000	-2.194829	-2.454125	-2.606268	0.063837	-0.085057	-0.306380	-1.205693	0.150831	0.057747	0.086088	0.817946	0.002436	12.017586	0.043333	0.288407	0.000000	0.000000	1.000000	0.000000
2600.000000	-2.326594	-2.548417	-2.802027	0.085902	-0.161248	-0.644772	-2.399626	0.268970	0.067192	0.042131	0.965762	0.005508	10.223203	0.053796	0.294430	0.000000	0.000000	1.000000	0.000000
2700.000000	-2.080113	-2.305958	-2.547764	0.073113	-0.205576	-0.784120	-1.792573	0.274608	0.072562	0.030248	0.927192	0.005239	9.983465	0.051598	0.286797	0.000000	0.000000	1.000000	0.000000
2800.000000	-2.027982	-2.221233	-2.461611	0.078535	-0.224632	-0.934520	-2.648746	0.353184	0.073928	0.025102	0.976959	0.006529	9.746034	0.055377	0.311180	0.000000	0.000000	1.000000	0.000000
